street,latitude,longitude,lrt_stations,lrt_latitude,lrt_longitude,lrt_nearest_distance_m
BUKIT DRIVE,1.3482758033093507,103.77454073794398,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,3102.1569670345853
OCEAN DRIVE,1.2444030379301774,103.84251846914482,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,16585.14402122572
STIRLING ROAD,1.29267425403127,103.80666324335688,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10034.561291617838
DOVER RISE,1.304416722314186,103.78427862672272,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,8061.563923477287
ANG MO KIO AVENUE 8,1.3703043031854452,103.84838631388943,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,3918.005110493075
ANG MO KIO CENTRAL 3,1.376437298613225,103.84672340509034,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,3709.2205527656574
JALAN JURONG KECHIL,1.341729902028196,103.7704771259518,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,3805.4252368600733
HILLVIEW AVENUE,1.3571485135381582,103.75829443322478,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,2219.585099607021
SERANGOON AVENUE 3,1.3485874167048244,103.86752471669644,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4886.503016413393
PASIR RIS GROVE,1.3701355162540982,103.94372780887088,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,4083.615604013754
JALAN LOYANG BESAR,1.3785276421172423,103.95926142612036,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,5111.238312196088
GERALD DRIVE,1.3875812207891611,103.87848345519936,LAYAR LRT STATION (SW6),1.39207983659997,103.880029600546,526.3530489138454
HOUGANG STREET 32,1.363767144181473,103.89531474186546,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,2272.7233549787875
HILLVIEW AVENUE,1.355909051755491,103.76073531598354,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,2426.582717568124
JURONG LAKE LINK,1.3451369788131922,103.72597121361072,SOUTH VIEW LRT STATION (BP2),1.38029828742399,103.745291799824,4442.908754417556
WEST COAST CRESCENT,1.2983155629093148,103.76492826974368,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,8633.77711085823
LOYANG BESAR CLOSE,1.378509038192061,103.95722819785117,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,4900.307220809289
POH HUAT ROAD,1.3668559557635218,103.8799281546669,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,2496.2327537409647
FLORA ROAD,1.360248589059126,103.96329661891242,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,6470.496864010467
KOVAN ROAD,1.3610780830618483,103.88525140239528,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,2884.8472124463483
BUKIT BATOK STREET 31,1.3569741752191848,103.74954027346088,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,2228.393766557716
HILLVIEW AVENUE,1.3563635892802934,103.76176145932344,BUKIT PANJANG LRT STATION (BP6),1.37792694616982,103.763102931112,2389.037128817474
CHOA CHU KANG AVENUE 3,1.3841719994501247,103.74841590682124,CHOA CHU KANG LRT STATION (BP1),1.38475541089131,103.74453769781,436.3901574918864
JALAN MATA AYER,1.4256938391032905,103.82449333770866,THANGGAM LRT STATION (SW4),1.39731815581938,103.875635154729,6498.955735688825
CHOA CHU KANG NORTH 7,1.3993115194014791,103.74880666612265,CHOA CHU KANG LRT STATION (BP1),1.38475541089131,103.74453769781,1678.1921242464123
MOUNT FABER ROAD,1.2703680539766609,103.8247119416636,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,13121.127283093483
ELIAS GREEN,1.3719419889324036,103.94182405611296,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,3792.6229772836837
PRINCE CHARLES CRESCENT,1.2931174058121584,103.82050553244494,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10691.224656831642
COMPASSVALE BOW,1.3804694925529364,103.8943184522844,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,525.0594910491204
AMBER ROAD,1.303365144761378,103.90197413029198,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8911.71964479816
BUKIT BATOK CENTRAL LINK,1.3490007332803222,103.74890788475103,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,3107.4951702145036
RIFLE RANGE ROAD,1.3381940161393278,103.78213404522612,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,4366.415316373581
BUKIT BATOK EAST AVENUE 5,1.3530806827203885,103.75614580918894,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,2624.0258104372692
CANBERRA DRIVE,1.4448907493299976,103.8251533736201,THANGGAM LRT STATION (SW4),1.39731815581938,103.875635154729,7696.222352769983
JALAN LOYANG BESAR,1.3786014277047731,103.9570091910916,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,4873.889866872342
BEDOK RISE,1.3270811524845063,103.947772361153,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8077.652878455897
JURONG EAST STREET 13,1.334300310954755,103.73779544915662,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,5010.2316972868475
DAIRY FARM HEIGHTS,1.3657285140528204,103.77141333324772,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,1150.9037122667442
ROSEWOOD DRIVE,1.4272872745580247,103.78605033238148,SEGAR LRT STATION (BP11),1.38778508663361,103.769599685249,4736.095053909049
SELETAR ROAD,1.3868247562755682,103.86911221532166,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,977.0256490195057
PHOENIX ROAD,1.3769650257966224,103.75636513326762,PHOENIX LRT STATION (BP5),1.37861545104083,103.757995558346,257.34687417328735
TANJONG RHU ROAD,1.2967699689868992,103.87278395843228,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,10045.588589865003
HINDHEDE WALK,1.3465180778601014,103.7736601797956,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,3285.8366908855164
TAMPINES STREET 86,1.354634549727728,103.92971544186216,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,4457.986138558224
