target_price,area,floorRange,noOfUnits,typeOfSale,district,typeOfArea,street,project,marketSegment,contract_date_dt,days_since_1st_trans,age_bin,tenure_bin,latitude,longitude
2500000,104.0,Floor 06-10,1,3,10,Strata,RIVER VALLEY ROAD,RV RESIDENCES,CCR,2022-10-01,153,"(138.9, 158.6]",999 yrs,1.2943410506219957,103.82844028238412
2300000,154.0,Floor 01-05,1,3,16,Strata,JALAN HAJIJAH,LAGUNA GREEN,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3128753965898088,103.93478126761381
1350000,80.0,Floor 06-10,1,3,14,Strata,GEYLANG EAST AVENUE 1,TRE RESIDENCES,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3172278260998425,103.88501590534123
1360000,75.0,Floor 11-15,1,3,4,Strata,DEPOT ROAD,THE INTERLACE,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.282201354238727,103.803023755865
1045888,55.0,Floor 06-10,1,3,15,Strata,AMBER ROAD,THE SHORE RESIDENCES,RCR,2022-10-01,153,"(0.803, 20.7]",103 yrs,1.303365144761378,103.90197413029198
1230000,117.0,Floor 01-05,1,3,23,Strata,BUKIT BATOK STREET 52,GUILIN VIEW,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3548763119837628,103.7531380430425
1000000,77.0,Floor 01-05,1,3,27,Strata,JALAN SENDUDOK,THE NAUTICAL,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.4421659871314434,103.82450398185114
1100000,102.0,Floor 01-05,1,3,25,Strata,ROSEWOOD DRIVE,ROSEWOOD SUITES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.4289686900021694,103.7858014084585
2438000,135.0,Floor 01-05,1,3,16,Strata,BEDOK SOUTH AVENUE 3,GRANDEUR PARK RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3248904018879364,103.94484144674203
1300000,61.0,Floor 01-05,1,3,9,Strata,SCOTTS ROAD,THE SCOTTS TOWER,CCR,2022-10-01,153,"(0.803, 20.7]",103 yrs,1.3099901784558348,103.83549968224105
1930000,92.0,Floor 16-20,1,3,20,Strata,ANG MO KIO AVENUE 2,THE PANORAMA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3755004316575845,103.83442218814929
