place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJn2Tr9dgb2jERConEIWD2iUE,Crescent Mall,OPERATIONAL,"{'location': {'lat': 1.2775023, 'lng': 103.8197427}, 'viewport': {'northeast': {'lat': 1.278863830291502, 'lng': 103.8212442302915}, 'southwest': {'lat': 1.276165869708498, 'lng': 103.8185462697085}}}",,144.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","12 Telok Blangah Crescent, Singapore",,1.2775023,103.8197427
ChIJxaEA_G4Z2jER_SdwZQv4M3A,The Blair House,OPERATIONAL,"{'location': {'lat': 1.2770421, 'lng': 103.8365577}, 'viewport': {'northeast': {'lat': 1.278450080291502, 'lng': 103.8378532802915}, 'southwest': {'lat': 1.275752119708498, 'lng': 103.8351553197085}}}",,3.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']","Kampong Bahru Road, #169349 23",,1.2770421,103.8365577
ChIJJRadj2wZ2jERqI_61mafRPU,Tanjong Pagar Plaza,OPERATIONAL,"{'location': {'lat': 1.2755282, 'lng': 103.842967}, 'viewport': {'northeast': {'lat': 1.276411380291502, 'lng': 103.8441855802915}, 'southwest': {'lat': 1.273713419708498, 'lng': 103.8414876197085}}}",,2183.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","SG, Tanjong Pagar Plaza, #1",,1.2755282,103.842967
ChIJvUUHX2sZ2jERFw3Rybv_wwY,100 AM,OPERATIONAL,"{'location': {'lat': 1.2749931, 'lng': 103.8435825}, 'viewport': {'northeast': {'lat': 1.276195530291502, 'lng': 103.8447891802915}, 'southwest': {'lat': 1.273497569708498, 'lng': 103.8420912197085}}}",,4181.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']",100 Tras Street,,1.2749931,103.8435825
ChIJHVm8JRMZ2jERK8ACFl8Gp04,Guoco Tower,OPERATIONAL,"{'location': {'lat': 1.276951, 'lng': 103.8458291}, 'viewport': {'northeast': {'lat': 1.278364030291502, 'lng': 103.8468286302915}, 'southwest': {'lat': 1.275666069708498, 'lng': 103.8441306697085}}}",,3442.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']","1 Wallich Street, Singapore",,1.276951,103.8458291
ChIJJdZoM2sZ2jERy8xMysHGueM,AlfaShip Agency Singapore,OPERATIONAL,"{'location': {'lat': 1.2735406, 'lng': 103.8447021}, 'viewport': {'northeast': {'lat': 1.274904480291502, 'lng': 103.8460356302915}, 'southwest': {'lat': 1.272206519708498, 'lng': 103.8433376697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']",Anson Road,,1.2735406,103.8447021
ChIJIZCqX2sZ2jERhS23Zenx3zg,Amara Holdings Limited,OPERATIONAL,"{'location': {'lat': 1.2749455, 'lng': 103.8434094}, 'viewport': {'northeast': {'lat': 1.276216230291502, 'lng': 103.8447544302915}, 'southwest': {'lat': 1.273518269708498, 'lng': 103.8420564697085}}}",,1.0,5.0,"['shopping_mall', 'lodging', 'general_contractor', 'point_of_interest', 'establishment']","100 Tras Street, #06-01 100, AM",,1.2749455,103.8434094
ChIJ2-WvdwAZ2jERlGc-ALm9my8,International Plaza,OPERATIONAL,"{'location': {'lat': 1.2761243, 'lng': 103.8458341}, 'viewport': {'northeast': {'lat': 1.277329030291502, 'lng': 103.8473625802915}, 'southwest': {'lat': 1.274631069708498, 'lng': 103.8446646197085}}}",,2.0,4.5,"['shopping_mall', 'point_of_interest', 'establishment']",10 Anson Road,,1.2761243,103.8458341
ChIJn5yMmIwZ2jERiH9SZZJOguQ,Elegance Beauty & Slimming Centre Pte. Ltd.,OPERATIONAL,"{'location': {'lat': 1.2756998, 'lng': 103.8458098}, 'viewport': {'northeast': {'lat': 1.277000980291502, 'lng': 103.8473554802915}, 'southwest': {'lat': 1.274303019708498, 'lng': 103.8446575197085}}}",,137.0,3.0,"['shopping_mall', 'point_of_interest', 'establishment']","10 Anson Road, #02-25/26/27 International Plaza, Singapore",,1.2756998,103.8458098
ChIJy4P1jf4Z2jERL0pE18JQ9RQ,Tanjong Pagar Xchange,OPERATIONAL,"{'location': {'lat': 1.2769449, 'lng': 103.8453569}, 'viewport': {'northeast': {'lat': 1.278165330291502, 'lng': 103.8464717802915}, 'southwest': {'lat': 1.275467369708498, 'lng': 103.8437738197085}}}",,8.0,3.6,"['shopping_mall', 'point_of_interest', 'establishment']",7 Wallich Street,,1.2769449,103.8453569
ChIJpZh7TmsZ2jER8N5QwOBLdIw,Icon Village,OPERATIONAL,"{'location': {'lat': 1.2749072, 'lng': 103.84443}, 'viewport': {'northeast': {'lat': 1.276079930291502, 'lng': 103.8456008302915}, 'southwest': {'lat': 1.273381969708498, 'lng': 103.8429028697085}}}",,686.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","12 Gopeng Street, Singapore",,1.2749072,103.84443
ChIJOY_WUnUZ2jER1bs9EAqRB-k,Tanjong Alley,OPERATIONAL,"{'location': {'lat': 1.2794614, 'lng': 103.8440827}, 'viewport': {'northeast': {'lat': 1.280751630291502, 'lng': 103.8453355802915}, 'southwest': {'lat': 1.278053669708498, 'lng': 103.8426376197085}}}",,3.0,5.0,"['shopping_mall', 'restaurant', 'food', 'point_of_interest', 'establishment']",21 Tanjong Pagar Road,,1.2794614,103.8440827
ChIJ1RbNoxMZ2jERdcsK4hU9CIc,Downtown Gallery,OPERATIONAL,"{'location': {'lat': 1.2771334, 'lng': 103.8485073}, 'viewport': {'northeast': {'lat': 1.278277830291502, 'lng': 103.8497068802915}, 'southwest': {'lat': 1.275579869708498, 'lng': 103.8470089197085}}}",,29.0,4.4,"['shopping_mall', 'point_of_interest', 'establishment']",6A Shenton Way,,1.2771334,103.8485073
ChIJ7Zte0vwZ2jERGjlAt4lTYJg,WomensFashionFun,OPERATIONAL,"{'location': {'lat': 1.2784433, 'lng': 103.8477691}, 'viewport': {'northeast': {'lat': 1.279834930291502, 'lng': 103.8490486302915}, 'southwest': {'lat': 1.277136969708498, 'lng': 103.8463506697085}}}",,8.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']","160 Robinson Road, #14-04",,1.2784433,103.8477691
ChIJ21Df72gZ2jERUSOfvov3SFk,OUE Downtown 1,OPERATIONAL,"{'location': {'lat': 1.2773786, 'lng': 103.8486667}, 'viewport': {'northeast': {'lat': 1.278696330291502, 'lng': 103.8500521302915}, 'southwest': {'lat': 1.275998369708498, 'lng': 103.8473541697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']","6a Shenton Way, Singapore",,1.2773786,103.8486667
ChIJ8W0UHwAZ2jERPiAUP4JyR-M,Kada,OPERATIONAL,"{'location': {'lat': 1.2801972, 'lng': 103.845171}, 'viewport': {'northeast': {'lat': 1.281535480291502, 'lng': 103.8465263802915}, 'southwest': {'lat': 1.278837519708498, 'lng': 103.8438284197085}}}",,64.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']",5 Kadayanallur Street,,1.2801972,103.845171
ChIJX321K1EZ2jER_culzQveOXs,Oxley Tower,OPERATIONAL,"{'location': {'lat': 1.278646, 'lng': 103.8484196}, 'viewport': {'northeast': {'lat': 1.280104680291502, 'lng': 103.8499191802915}, 'southwest': {'lat': 1.277406719708498, 'lng': 103.8472212197085}}}",,337.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","138 Robinson Road, Singapore",,1.278646,103.8484196
