place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJwRQN6nsV2jERQ4fuFW3yBVI,SriRaaga Fine Arts,OPERATIONAL,"{'location': {'lat': 1.419719, 'lng': 103.833325}, 'viewport': {'northeast': {'lat': 1.421137030291502, 'lng': 103.8346723302915}, 'southwest': {'lat': 1.418439069708498, 'lng': 103.8319743697085}}}",,1.0,5.0,"['school', 'point_of_interest', 'establishment']",796 Yishun Ring Road,,1.419719,103.833325
ChIJ-xT5Xg0U2jERttPpeHxosMg,My First Skool at Blk 796A Yishun Ring,OPERATIONAL,"{'location': {'lat': 1.419382, 'lng': 103.833009}, 'viewport': {'northeast': {'lat': 1.420660380291502, 'lng': 103.8343176802915}, 'southwest': {'lat': 1.417962419708498, 'lng': 103.8316197197085}}}",,11.0,5.0,"['school', 'point_of_interest', 'establishment']","Blk 796A Yishun Ring Road, #01-3382",,1.419382,103.833009
ChIJaWqoXw0U2jER7a-y19Qei38,Ntuc Childcare - Yishun I,OPERATIONAL,"{'location': {'lat': 1.419382, 'lng': 103.833009}, 'viewport': {'northeast': {'lat': 1.420660380291502, 'lng': 103.8343176802915}, 'southwest': {'lat': 1.417962419708498, 'lng': 103.8316197197085}}}",,,,"['school', 'point_of_interest', 'establishment']","796A Yishun Ring Road, Block 796A, Singapore",,1.419382,103.833009
ChIJIan4U3AU2jERaf-_Iu7g0Uk,Jiemin Primary School,OPERATIONAL,"{'location': {'lat': 1.427671, 'lng': 103.830498}, 'viewport': {'northeast': {'lat': 1.428809080291502, 'lng': 103.8318668802915}, 'southwest': {'lat': 1.426111119708498, 'lng': 103.8291689197085}}}",,,,"['primary_school', 'school', 'point_of_interest', 'establishment']",2 Yishun Street 71,,1.427671,103.830498
ChIJLcQPMGsU2jEREShAHns1T3U,Northland Primary School,OPERATIONAL,"{'location': {'lat': 1.4210098, 'lng': 103.8405561}, 'viewport': {'northeast': {'lat': 1.422421830291502, 'lng': 103.8421128802915}, 'southwest': {'lat': 1.419723869708498, 'lng': 103.8394149197085}}}",,,,"['primary_school', 'school', 'point_of_interest', 'establishment']",15 Yishun Avenue 4,,1.4210098,103.8405561
ChIJx_XHPhMU2jER2zrBUHzSNqI,Chung Cheng High School (Yishun),OPERATIONAL,"{'location': {'lat': 1.4193805, 'lng': 103.8377455}, 'viewport': {'northeast': {'lat': 1.420714530291502, 'lng': 103.8391224802915}, 'southwest': {'lat': 1.418016569708498, 'lng': 103.8364245197085}}}",,,,"['school', 'point_of_interest', 'establishment']",11 Yishun Street 61,,1.4193805,103.8377455
ChIJ58JGhW4U2jERaMN1VnuSua8,Iman Kindergarten (Yishun) Pte Ltd,OPERATIONAL,"{'location': {'lat': 1.4258715, 'lng': 103.8364939}, 'viewport': {'northeast': {'lat': 1.427114380291502, 'lng': 103.8380578802915}, 'southwest': {'lat': 1.424416419708498, 'lng': 103.8353599197085}}}",,6.0,2.5,"['school', 'point_of_interest', 'establishment']","Blk 934 Yishun Central 1, #01-579",,1.4258715,103.8364939
ChIJJfJOv2sU2jERCUnXgMbe9xU,Singapore Swim Centre,OPERATIONAL,"{'location': {'lat': 1.4238216, 'lng': 103.8407982}, 'viewport': {'northeast': {'lat': 1.425143380291502, 'lng': 103.8420863802915}, 'southwest': {'lat': 1.422445419708498, 'lng': 103.8393884197085}}}",,,,"['school', 'health', 'point_of_interest', 'establishment']","60 Yishun Avenue 4, Singapore",,1.4238216,103.8407982
ChIJNScXj24U2jER1vnzXeTNXp0,ChangChun Language School - Yishun Branch,OPERATIONAL,"{'location': {'lat': 1.425757, 'lng': 103.836589}, 'viewport': {'northeast': {'lat': 1.427091630291502, 'lng': 103.8381054302915}, 'southwest': {'lat': 1.424393669708498, 'lng': 103.8354074697085}}}",,,,"['school', 'point_of_interest', 'establishment']",934 Yishun Central 1,,1.425757,103.836589
ChIJFTq61RIU2jERrlvr28fE-MY,Life Community Services Society - Yishun,OPERATIONAL,"{'location': {'lat': 1.420202, 'lng': 103.836127}, 'viewport': {'northeast': {'lat': 1.421628130291502, 'lng': 103.8374988802915}, 'southwest': {'lat': 1.418930169708498, 'lng': 103.8348009197085}}}",,10.0,4.9,"['school', 'point_of_interest', 'establishment']","611 Yishun Street 61, Block 611",,1.420202,103.836127
ChIJaZ1YN2sU2jERHXgfPh1rh50,Grasio Sports Silat School - Northland Primary School,OPERATIONAL,"{'location': {'lat': 1.420935, 'lng': 103.840768}, 'viewport': {'northeast': {'lat': 1.422190680291502, 'lng': 103.8422188302915}, 'southwest': {'lat': 1.419492719708498, 'lng': 103.8395208697085}}}",,,,"['primary_school', 'school', 'health', 'point_of_interest', 'establishment']",15 Yishun Avenue 4,,1.420935,103.840768
